emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,initial_listing_status,disbursement_method,id
instructor,2,NY,RENT,45000,Source Verified,6.71,NA,,NA,0,NA,2011,0,5,4,9300,7743,0,0,NA,0,0,0,0,NA,4,0,0,3,7600,5,4,4,0,100,0,0,debt_consolidation,individual,12000,60,19.03,whole,Cash,1
owner,10,CA,RENT,68000,Source Verified,18.99,NA,,NA,0,NA,1971,1,14,5,44050,34712,0,1,NA,0,0,2,3,3,5,0,0,2,16000,10,3,2,1,100,0,1,small_business,individual,7200,36,16.01,whole,Cash,2
merchandiser,10,TN,OWN,15000,Source Verified,20.83,NA,,NA,0,NA,2007,1,9,5,19300,6502,0,0,NA,0,0,0,1,1,5,0,0,4,19300,7,5,4,0,100,0,0,credit_card,individual,5000,36,11.99,whole,Cash,3
deputy clerk,2,OH,MORTGAGE,35000,Verified,35.56,NA,,NA,0,29,2007,3,16,8,76236,36051,1,0,NA,0,239,3,1,0,8,0,0,2,8000,6,4,3,1,93.8,0,0,debt_consolidation,individual,12800,60,23.88,whole,DirectPay,4
teacher,2,UT,RENT,34000,Not Verified,13.2,NA,,NA,0,NA,2011,0,8,8,20577,18633,0,0,NA,0,0,6,3,21,8,0,0,1,1000,2,2,2,0,100,0,0,credit_card,individual,1200,36,10.9,whole,Cash,5
personal banker,1,GA,MORTGAGE,50000,Verified,17.38,NA,,NA,0,NA,2005,2,24,11,49557,25633,0,1,NA,0,619,2,9,6,11,0,0,3,17700,18,9,3,1,100,0,1,other,individual,6500,36,12.62,whole,Cash,6
manufacturing engineer,5,CT,RENT,80500,Not Verified,22.63,NA,,NA,0,47,2005,0,28,12,83671,66485,1,0,59,0,0,3,2,14,12,0,0,2,10600,13,7,4,0,67.9,0,0,other,individual,16000,60,26.3,whole,Cash,7
order processing manager,7,CA,RENT,85000,Source Verified,22.33,NA,,NA,0,NA,2013,7,23,22,102080,67427,0,0,NA,0,0,3,14,0,22,0,0,9,26300,19,19,14,0,100,0,0,debt_consolidation,individual,18000,36,14.08,whole,Cash,8
physician assistant,2,NJ,MORTGAGE,210000,Source Verified,22.26,NA,,NA,0,NA,2000,0,37,13,655360,657944,0,0,NA,0,0,4,4,14,13,0,0,4,54100,14,7,7,2,100,0,0,credit_card,individual,16000,36,7.35,whole,Cash,9
warehouse manager,2,CA,OWN,75000,Not Verified,36.96,NA,,NA,0,NA,2003,0,46,30,180063,87133,0,0,NA,0,0,6,9,13,30,0,0,7,54400,30,24,16,0,100,0,0,debt_consolidation,individual,18000,36,11.99,whole,Cash,10
data analyst ii,0,TX,RENT,81000,Not Verified,32.35,NA,,NA,0,52,1988,0,27,8,108555,67815,0,0,52,0,160,5,1,NA,8,0,0,2,13100,8,3,2,1,92.6,0,0,debt_consolidation,individual,25000,60,12.61,fractional,Cash,11
director of nursing,1,NJ,RENT,115000,Not Verified,9.62,NA,,NA,0,35,1992,4,14,8,50672,38635,0,0,35,0,802,5,4,8,8,0,0,3,15500,4,3,3,0,64.3,0,0,debt_consolidation,individual,14000,36,11.99,whole,Cash,12
owner,10,OH,MORTGAGE,116000,Source Verified,29.26,NA,,NA,0,53,1982,3,49,24,493047,111553,0,0,NA,0,0,3,7,1,23,NA,0,14,98800,37,19,11,7,98,0,0,debt_consolidation,individual,20000,36,7.35,whole,Cash,13
physician,10,MA,MORTGAGE,230000,Source Verified,7.94,NA,,NA,0,NA,1993,0,20,11,717200,71321,0,0,NA,0,0,1,1,22,11,0,0,4,130900,11,9,7,2,100,0,0,debt_consolidation,individual,25000,36,5.32,whole,Cash,14
teacher,9,WA,MORTGAGE,32000,Source Verified,36.19,241000,Source Verified,21.7,0,NA,2004,6,48,16,102490,80118,0,0,NA,0,0,7,16,3,16,0,0,2,18500,26,9,2,4,97.9,0,0,debt_consolidation,joint,24000,60,18.45,whole,Cash,15
it consultant,6,OH,RENT,100000,Source Verified,16.73,NA,,NA,0,NA,2007,0,16,8,57125,33465,0,0,NA,0,0,6,0,18,8,0,0,2,23500,3,2,2,0,100,0,0,debt_consolidation,individual,30000,60,15.05,whole,Cash,16
manager,8,NC,MORTGAGE,57000,Verified,19.16,NA,,NA,0,NA,2003,0,10,9,272974,37066,0,1,NA,0,0,2,6,13,9,0,0,4,27700,6,6,4,1,100,0,1,debt_consolidation,individual,7000,36,19.42,whole,Cash,17
4th person,3,IL,RENT,30000,Not Verified,18.91,NA,,NA,0,NA,2001,0,9,6,33114,17768,0,0,NA,0,0,1,5,17,6,0,0,3,14700,7,5,3,0,100,0,0,credit_card,individual,6400,36,6.71,fractional,Cash,18
,NA,NV,MORTGAGE,60000,Not Verified,31.22,NA,,NA,0,77,2003,4,21,9,375092,93016,0,0,NA,0,0,3,8,2,9,0,0,2,15800,7,5,3,2,95.2,0,0,credit_card,individual,12000,60,19.03,whole,Cash,19
,NA,WA,MORTGAGE,76892,Source Verified,30.67,NA,,NA,0,NA,1993,3,45,15,75633,42178,0,0,NA,0,0,6,12,4,15,0,0,4,13000,18,9,6,4,100,0,0,vacation,individual,2000,36,17.09,whole,Cash,20
package handler ,1,IN,RENT,30000,Source Verified,4.96,NA,,NA,0,NA,2012,9,19,11,38600,4220,0,0,NA,0,4032,0,11,1,11,0,0,1,18000,15,11,3,0,100,0,0,debt_consolidation,individual,7200,36,20,whole,Cash,21
,NA,FL,OWN,40000,Source Verified,5.52,NA,,NA,0,76,1998,1,20,11,39000,4394,0,0,76,0,0,0,5,2,11,0,0,4,16600,17,11,7,2,95,0,0,home_improvement,individual,15000,36,6.08,whole,Cash,22
utility porter,8,NV,MORTGAGE,38000,Not Verified,19.71,NA,,NA,0,25,2008,0,7,6,124814,11171,0,1,NA,0,300,1,1,NA,6,0,0,2,4300,5,4,4,1,83.3,0,1,major_purchase,individual,5000,36,14.08,whole,Cash,23
certified registered nurse anesthestist,10,NC,MORTGAGE,195000,Verified,17.95,NA,,NA,0,NA,2004,0,32,20,404928,155925,0,0,NA,0,0,5,2,NA,20,0,0,4,63700,17,14,8,2,100,0,0,home_improvement,individual,38400,60,7.35,whole,Cash,24
powerlineman,10,AZ,MORTGAGE,190000,Source Verified,9.35,NA,,NA,0,NA,2007,1,10,7,508336,71424,0,1,NA,0,0,2,3,0,7,0,0,3,22000,5,4,4,2,100,0,1,debt_consolidation,individual,40000,60,16.02,whole,Cash,25
tfs tech,10,TX,MORTGAGE,125381,Source Verified,20.05,NA,,NA,0,NA,2001,0,31,17,304514,82773,0,0,NA,0,0,2,1,20,17,0,0,9,91600,19,13,12,3,100,0,0,credit_card,individual,40000,60,14.08,whole,Cash,26
office manager,3,CT,MORTGAGE,24000,Verified,75.45,124000,Verified,31.67,0,41,1984,4,26,18,176888,54196,0,0,NA,0,105,2,4,11,18,0,0,4,31700,19,15,8,3,92,0,0,debt_consolidation,joint,32000,60,28.72,whole,Cash,27
transportation manager,4,PA,OWN,56000,Source Verified,26.85,NA,,NA,1,19,2008,3,15,10,71272,48833,0,0,NA,0,0,3,3,6,10,0,0,7,19400,7,7,7,0,93.3,0,0,debt_consolidation,individual,15000,36,9.93,fractional,Cash,28
truck driving,10,MN,MORTGAGE,112000,Source Verified,18.6,172000,Source Verified,20.84,0,68,1996,3,43,20,352461,49906,0,0,68,0,0,2,4,8,20,0,0,11,73900,16,16,12,2,97.7,0,0,debt_consolidation,joint,30000,60,10.42,whole,Cash,29
csp,8,TX,OWN,30000,Source Verified,5.56,NA,,NA,0,NA,2003,1,20,7,32053,30775,0,0,NA,0,0,1,3,0,7,0,0,2,3000,15,6,3,0,95,0,0,medical,individual,6400,36,9.92,whole,Cash,30
sales director,10,TX,MORTGAGE,200000,Source Verified,27.64,NA,,NA,0,59,2000,2,30,18,1452580,130923,0,0,NA,0,0,2,7,2,17,NA,0,9,173900,20,13,8,4,97,0,0,credit_card,individual,28000,36,9.43,whole,Cash,31
partner,10,NY,MORTGAGE,168000,Not Verified,34.69,NA,,NA,0,NA,1996,9,47,27,991189,292935,0,0,NA,0,0,2,6,2,27,0,0,11,214800,32,24,13,3,100,0,0,debt_consolidation,individual,15000,36,6.07,whole,Cash,32
president,4,NC,RENT,150000,Verified,22.82,NA,,NA,0,NA,2006,2,10,7,164714,99784,0,0,NA,0,0,4,5,11,7,0,0,2,24000,4,3,2,0,100,0,0,debt_consolidation,individual,28000,60,18.06,whole,Cash,33
accountant,10,TX,MORTGAGE,55000,Not Verified,22.67,NA,,NA,0,NA,1994,5,33,19,263545,49424,0,0,NA,0,0,2,7,5,19,0,0,2,11200,23,16,8,1,100,0,0,debt_consolidation,individual,4200,36,10.9,whole,Cash,34
engineering tech,2,WI,MORTGAGE,45000,Not Verified,7.28,NA,,NA,0,NA,2006,0,10,5,111600,9899,0,0,NA,0,0,1,1,16,5,0,0,2,4500,4,3,2,3,100,0,0,major_purchase,individual,5000,36,7.34,whole,Cash,35
asst project coordinator,2,KS,OWN,40000,Source Verified,23.16,NA,,NA,0,NA,2004,0,13,8,88949,85622,0,0,NA,0,0,2,3,NA,8,0,0,1,17000,9,6,2,0,100,0,0,credit_card,individual,18000,36,7.34,whole,DirectPay,36
manager,10,NC,MORTGAGE,75000,Source Verified,26.21,NA,,NA,0,NA,2013,3,24,11,69464,51979,0,0,NA,0,0,4,6,3,11,0,0,3,11900,11,7,6,3,100,0,0,credit_card,individual,22000,60,17.09,whole,DirectPay,37
nuclear medicine ,4,TX,RENT,84000,Not Verified,18.46,NA,,NA,2,NA,2006,2,18,15,72590,48402,1,0,15,0,0,7,4,7,15,NA,0,5,17400,11,8,8,0,94,0,0,debt_consolidation,individual,15000,36,9.44,fractional,Cash,38
hr supervisor,7,KS,MORTGAGE,47000,Verified,50.74,82000,Verified,29.65,1,6,2007,2,34,15,192783,64079,0,0,73,0,0,3,4,1,15,0,0,3,22500,16,11,6,4,85.3,0,0,debt_consolidation,joint,28975,36,16.02,whole,Cash,39
front office lead,7,GA,OWN,60000,Source Verified,23.38,NA,,NA,1,13,2004,1,30,16,85131,42463,0,0,23,0,0,1,5,7,16,0,0,3,35700,24,15,6,0,96.7,0,0,debt_consolidation,individual,18000,36,19.03,whole,Cash,40
senior field engineer,6,AL,MORTGAGE,47000,Source Verified,16.11,NA,,NA,0,NA,2000,2,18,12,49774,34312,0,0,NA,0,0,7,4,2,12,0,0,1,1900,10,5,4,0,77.8,0,0,home_improvement,individual,20000,60,17.09,whole,Cash,41
nurse,0,MN,RENT,85000,Verified,53.25,125000,Verified,37.1,0,NA,2013,2,23,14,167378,106532,0,0,NA,0,0,6,7,1,14,0,0,2,19500,12,8,4,0,100,0,0,debt_consolidation,joint,30150,36,26.3,fractional,Cash,42
sr engineer,10,CO,RENT,126000,Source Verified,3.82,NA,,NA,0,NA,2003,0,9,3,49529,7020,0,0,NA,0,0,1,0,NA,3,0,0,1,27200,5,2,1,0,100,0,0,debt_consolidation,individual,16500,36,5.32,whole,Cash,43
rocket technician,10,FL,RENT,95000,Not Verified,21.96,NA,,NA,0,NA,2001,1,35,16,100805,83640,0,1,NA,0,0,3,8,6,16,0,0,5,7800,21,13,12,2,100,0,1,debt_consolidation,individual,6000,36,10.42,fractional,Cash,44
hairstylist,10,TX,MORTGAGE,60000,Not Verified,19.24,NA,,NA,0,NA,2007,3,19,9,64017,43871,0,0,NA,0,1127,1,3,3,9,0,0,4,13500,13,8,5,0,100,0,0,home_improvement,individual,6000,36,10.42,whole,Cash,45
principal analyst ,2,TX,MORTGAGE,110500,Source Verified,18.89,NA,,NA,1,18,2006,4,15,13,359484,68303,0,0,NA,0,0,3,4,1,13,0,0,7,26000,9,9,7,1,93.3,0,0,debt_consolidation,individual,12000,36,13.59,fractional,Cash,46
lead server,9,CA,RENT,55000,Source Verified,15.04,NA,,NA,0,NA,1998,0,13,12,46286,33294,0,0,NA,0,0,5,8,14,12,0,0,4,8800,7,7,6,0,100,0,0,debt_consolidation,individual,16800,60,13.58,whole,Cash,47
training records specialist,3,WA,MORTGAGE,42000,Not Verified,26.71,NA,,NA,0,NA,2011,0,18,17,298860,31825,0,0,NA,0,0,12,2,21,17,0,0,3,26300,4,4,3,2,100,0,0,debt_consolidation,individual,8000,36,6.72,whole,DirectPay,48
consultant,3,FL,MORTGAGE,126000,Source Verified,7.33,NA,,NA,0,NA,2007,5,14,9,436634,39979,0,0,NA,0,0,1,6,2,9,0,0,7,36100,9,7,7,1,100,0,0,credit_card,individual,20000,60,14.08,whole,Cash,49
advanced refining inspector,5,TX,MORTGAGE,115000,Not Verified,23.28,NA,,NA,0,44,2002,4,44,13,186713,163265,0,0,NA,0,0,4,8,9,13,0,0,4,15200,20,9,7,3,97.7,0,0,credit_card,individual,20000,36,6.07,whole,DirectPay,50
administrative assistant,10,WI,MORTGAGE,50000,Source Verified,25.97,NA,,NA,0,NA,2006,1,25,11,152772,28389,0,0,NA,0,285,3,4,2,11,0,0,3,6000,8,6,6,5,100,0,0,home_improvement,individual,6600,36,10.91,whole,Cash,51
manager,10,NC,MORTGAGE,140000,Verified,17.51,NA,,NA,0,52,2003,1,14,8,107147,87862,0,0,52,0,0,2,3,12,8,0,0,3,23400,7,6,5,2,92.9,0,0,debt_consolidation,individual,20000,36,16.01,fractional,Cash,52
realtor,3,MO,MORTGAGE,250000,Source Verified,1.44,NA,,NA,0,NA,1996,2,11,3,268006,18815,0,2,NA,0,0,1,4,2,3,0,0,1,17200,4,1,1,3,100,1,1,other,individual,24000,60,7.35,whole,Cash,53
operations manager,5,NV,MORTGAGE,75000,Source Verified,11.57,NA,,NA,0,NA,2006,1,10,7,43434,32259,0,1,NA,0,1242,5,1,2,6,0,0,1,900,3,2,1,0,100,0,1,debt_consolidation,individual,10000,60,16.02,whole,Cash,54
speech language pathologist,10,GA,MORTGAGE,60000,Not Verified,10.4,NA,,NA,0,50,2004,0,10,5,13245,9552,0,0,57,0,0,1,2,21,5,0,0,3,7800,7,4,4,1,100,0,0,debt_consolidation,individual,8000,36,14.07,fractional,Cash,55
supervisor,10,TX,RENT,34000,Not Verified,21.64,NA,,NA,0,NA,1993,3,21,11,30632,11648,0,0,NA,0,0,3,10,2,11,0,0,2,15000,9,8,2,0,100,0,0,credit_card,individual,2400,36,10.42,whole,Cash,56
clinical laboratory scientist,5,CA,OWN,130000,Verified,4.94,NA,,NA,1,6,1996,3,29,13,514902,15548,0,0,6,0,0,0,5,2,13,0,0,6,34700,18,12,9,4,93.1,0,0,debt_consolidation,individual,40000,60,12.61,whole,Cash,57
line cook,1,SC,RENT,28000,Source Verified,26.96,NA,,NA,0,NA,2011,0,11,10,28300,13329,0,0,NA,0,0,1,0,19,10,0,0,5,7900,10,9,8,0,100,0,0,debt_consolidation,individual,12000,36,15.04,fractional,Cash,58
,NA,NC,MORTGAGE,44000,Not Verified,7.23,NA,,NA,0,36,2000,0,23,11,31900,16721,0,0,NA,0,0,0,0,NA,11,0,0,3,24800,22,11,4,0,91.3,0,0,debt_consolidation,individual,16000,60,12.61,whole,Cash,59
fire captain ,10,CA,MORTGAGE,130000,Not Verified,5.47,260000,Not Verified,3.12,0,68,1999,0,15,6,235777,15108,0,2,68,0,0,1,4,16,6,0,0,1,7000,9,4,2,2,83.3,0,2,other,joint,10000,36,9.43,whole,Cash,60
supervisor,10,PA,RENT,67000,Source Verified,13.29,NA,,NA,0,NA,2007,0,15,8,37700,22308,1,0,NA,0,284,1,2,NA,8,0,0,3,19700,8,6,3,0,100,0,0,debt_consolidation,individual,35000,36,15.05,whole,Cash,61
ceo,10,CT,MORTGAGE,500000,Source Verified,6.29,588000,Not Verified,7.93,3,3,1999,1,26,12,1095467,74039,0,0,NA,0,0,5,4,11,12,0,0,1,1400,14,5,2,2,84.6,0,0,debt_consolidation,joint,40000,60,9.93,whole,Cash,62
,NA,CA,RENT,85500,Not Verified,6.58,171000,Not Verified,7.85,0,NA,2011,0,6,5,22100,17496,0,0,NA,0,0,0,0,NA,5,0,0,5,22100,6,5,5,0,100,0,0,credit_card,joint,30000,60,13.59,whole,Cash,63
owner,5,NC,RENT,50000,Not Verified,34.18,64000,Not Verified,37.63,0,NA,2014,3,13,8,98789,74719,0,0,NA,0,0,2,8,6,8,0,0,2,15000,7,6,4,0,100,0,0,credit_card,joint,20000,36,13.59,whole,Cash,64
,NA,MO,RENT,33600,Verified,12.86,183600,Source Verified,16.03,2,17,2000,0,15,8,116720,15197,0,0,NA,0,0,0,0,NA,8,0,0,3,37000,12,7,4,1,86.7,0,0,debt_consolidation,joint,16000,36,7.34,whole,Cash,65
server,3,NY,RENT,50000,Source Verified,4.99,NA,,NA,0,NA,2013,1,8,7,37695,5988,0,0,NA,0,0,0,4,10,7,0,0,5,37600,6,6,5,0,100,0,0,small_business,individual,20000,36,12.61,whole,Cash,66
driver,0,OK,OWN,26000,Verified,11.31,NA,,NA,0,NA,1998,1,6,6,57095,46299,0,0,NA,0,0,0,3,3,6,0,0,2,17800,5,5,2,0,100,0,0,debt_consolidation,individual,6000,36,9.92,whole,Cash,67
teacher,10,SD,OWN,95000,Not Verified,11.45,NA,,NA,0,NA,1975,2,40,10,73740,14461,0,1,NA,0,0,1,6,3,10,0,0,5,29600,23,9,8,0,100,0,1,debt_consolidation,individual,5000,36,7.96,whole,Cash,68
executive,1,MI,MORTGAGE,200000,Source Verified,22.96,NA,,NA,0,25,1987,2,23,18,592023,117755,0,0,NA,0,0,2,2,3,18,0,0,10,90300,17,14,12,1,95.7,0,0,credit_card,individual,19000,60,14.08,whole,Cash,69
